in:FloorCount,in:Area,in:Aspect_Ratio,in:Offset,in:Orientation,in:Height,in:Window_Wall_Ratio,in:Window_Height,in:Sill_Height,in:Infiltration,in:R_value_Wall,in:R_value_Roof,in:Glazing_Type,in:Shading_depth,in:Outside_Air_Core,in:Outside_Air_Perimeter,in:Internal_Load_Core,in:Internal_Load_Perimeter,in:Comfort_Range,in:HVAC_Systems,out:unmet_cooling_hours,out:eui,out:lighting_power_density,out:daylight_factor,out:heating,out:unmet_heating_hours,out:cooling
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,613.31,10.7639,0.25,429.96,275.67,118.92
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,306.88,10.7639,0.25,120.86,194.67,52.6
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,155.67,382.05,10.7639,0.25,182.53,355.67,94.64
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,725.16,10.7639,0.25,562.61,275.67,124.41
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,358.33,10.7639,0.25,163.95,193.67,55.43
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,120.67,615.24,10.7639,0.25,450.74,379.5,98.45
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,101.0,544.1,10.7639,0.25,359.19,449.0,111.0
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,269.58,10.7639,0.25,82.22,179.67,49.16
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,165.5,360.46,10.7639,0.25,164.99,355.83,90.46
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,101.17,664.51,10.7639,0.25,502.58,449.83,116.46
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,4.17,320.16,10.7639,0.25,124.8,188.67,52.04
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,95.67,593.12,10.7639,0.25,434.05,387.33,92.78
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,613.31,10.7639,0.25,429.96,275.67,118.92
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,306.88,10.7639,0.25,120.87,194.67,52.6
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,155.67,382.05,10.7639,0.25,182.53,355.67,94.64
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,43.83,725.16,10.7639,0.25,562.61,275.67,124.41
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,358.33,10.7639,0.25,163.95,193.67,55.43
1,1250,1,4,0,4,30,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,120.67,615.24,10.7639,0.25,450.74,379.5,98.45
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,101.0,544.1,10.7639,0.25,359.19,449.0,111.0
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,269.58,10.7639,0.25,82.22,179.67,49.16
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,165.5,360.46,10.7639,0.25,164.99,355.83,90.46
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,101.17,664.51,10.7639,0.25,502.58,449.83,116.46
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,4.17,320.16,10.7639,0.25,124.8,188.67,52.04
1,1250,1,4,0,4,30,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,95.67,593.12,10.7639,0.25,434.05,387.33,92.78
1,1250,1,4,0,4,50,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,104.5,702.45,10.7639,0.25,495.36,279.83,143.66
